[00206] DAY      meanV=170.4 EO=1 IR=1 | fused[-] | tracks[-] reg[warmup n=207 r=nanpx]
[00207] DAY      meanV=170.4 EO=1 IR=1 | fused[-] | tracks[-] reg[warmup n=208 r=nanpx]
[00208] DAY      meanV=170.4 EO=1 IR=1 | fused[-] | tracks[-] reg[warmup n=209 r=nanpx]
[00209] DAY      meanV=170.4 EO=1 IR=1 | fused[-] | tracks[-] reg[warmup n=210 r=nanpx]
[00210] DAY      meanV=170.4 EO=1 IR=1 | fused[-] | tracks[-] reg[warmup n=211 r=nanpx]
[00211] DAY      meanV=170.4 EO=1 IR=1 | fused[-] | tracks[-] reg[warmup n=212 r=nanpx]
[00212] DAY      meanV=170.4 EO=1 IR=1 | fused[-] | tracks[-] reg[warmup n=213 r=nanpx]
[00213] DAY      meanV=170.5 EO=1 IR=1 | fused[-] | tracks[-] reg[warmup n=214 r=nanpx]
[00214] DAY      meanV=170.5 EO=1 IR=1 | fused[-] | tracks[-] reg[warmup n=215 r=nanpx]
[00215] DAY      meanV=170.5 EO=1 IR=1 | fused[-] | tracks[-] reg[warmup n=216 r=nanpx]
[00216] DAY      meanV=170.5 EO=1 IR=1 | fused[-] | tracks[-] reg[warmup n=217 r=nanpx]
[00217] DAY      meanV=170.5 EO=1 IR=1 | fused[-] | tracks[-] reg[warmup n=218 r=nanpx]
[00218] DAY      meanV=170.6 EO=1 IR=1 | fused[-] | tracks[-] reg[warmup n=219 r=nanpx]
[00219] DAY      meanV=170.6 EO=1 IR=1 | fused[-] | tracks[-] reg[warmup n=220 r=nanpx]
[00220] DAY      meanV=170.6 EO=1 IR=1 | fused[-] | tracks[-] reg[warmup n=221 r=nanpx]
[00221] DAY      meanV=170.6 EO=1 IR=1 | fused[-] | tracks[-] reg[warmup n=222 r=nanpx]
[00222] DAY      meanV=170.6 EO=1 IR=1 | fused[-] | tracks[-] reg[warmup n=223 r=nanpx]
[00223] DAY      meanV=170.6 EO=1 IR=1 | fused[-] | tracks[-] reg[warmup n=224 r=nanpx]
[00224] DAY      meanV=170.7 EO=1 IR=1 | fused[-] | tracks[-] reg[warmup n=225 r=nanpx]
[00225] DAY      meanV=170.7 EO=1 IR=1 | fused[-] | tracks[-] reg[warmup n=226 r=nanpx]
[00226] DAY      meanV=170.7 EO=1 IR=1 | fused[-] | tracks[-] reg[warmup n=227 r=nanpx]
[00227] DAY      meanV=170.7 EO=1 IR=1 | fused[-] | tracks[-] reg[warmup n=228 r=nanpx]
[00228] DAY      meanV=170.7 EO=1 IR=1 | fused[-] | tracks[-] reg[warmup n=229 r=nanpx]
[00229] DAY      meanV=170.7 EO=1 IR=1 | fused[-] | tracks[-] reg[warmup n=230 r=nanpx]
[00230] DAY      meanV=170.7 EO=1 IR=1 | fused[-] | tracks[-] reg[warmup n=231 r=nanpx]
[00231] DAY      meanV=170.8 EO=1 IR=1 | fused[-] | tracks[-] reg[warmup n=232 r=nanpx]
[00232] DAY      meanV=170.8 EO=1 IR=1 | fused[-] | tracks[-] reg[warmup n=233 r=nanpx]
[00233] DAY      meanV=170.8 EO=1 IR=1 | fused[-] | tracks[-] reg[warmup n=234 r=nanpx]
[00234] DAY      meanV=170.8 EO=1 IR=1 | fused[-] | tracks[-] reg[warmup n=235 r=nanpx]
[00235] DAY      meanV=170.9 EO=1 IR=1 | fused[-] | tracks[-] reg[warmup n=236 r=nanpx]
[00236] DAY      meanV=170.9 EO=1 IR=1 | fused[-] | tracks[-] reg[warmup n=237 r=nanpx]
[00237] DAY      meanV=170.9 EO=1 IR=1 | fused[-] | tracks[-] reg[warmup n=238 r=nanpx]
[00238] DAY      meanV=170.9 EO=1 IR=1 | fused[-] | tracks[-] reg[warmup n=239 r=nanpx]
[00239] DAY      meanV=170.8 EO=1 IR=1 | fused[-] | tracks[-] reg[warmup n=240 r=nanpx]
[00240] DAY      meanV=170.8 EO=1 IR=1 | fused[-] | tracks[-] reg[warmup n=241 r=nanpx]
[00241] DAY      meanV=170.8 EO=1 IR=1 | fused[-] | tracks[-] reg[warmup n=242 r=nanpx]
