[00177] DAY      meanV=171.7 EO=1 IR=1 | fused[EO+IR:0.63] | tracks[#1@(613,775)] reg[LOCKED n=75 r=nanpx]
[00178] DAY      meanV=171.7 EO=1 IR=1 | fused[EO+IR:0.64] | tracks[#1@(622,775)] reg[LOCKED n=76 r=nanpx]
[00179] DAY      meanV=171.8 EO=1 IR=1 | fused[EO+IR:0.63] | tracks[#1@(637,775)] reg[LOCKED n=77 r=nanpx]
[00180] DAY      meanV=171.8 EO=1 IR=1 | fused[EO+IR:0.64] | tracks[#1@(644,775)] reg[LOCKED n=78 r=nanpx]
[00181] DAY      meanV=171.8 EO=1 IR=1 | fused[EO+IR:0.64] | tracks[#1@(658,775)] reg[LOCKED n=79 r=nanpx]
[00182] DAY      meanV=171.8 EO=1 IR=1 | fused[EO+IR:0.62] | tracks[#1@(668,775)] reg[LOCKED n=80 r=nanpx]
[00183] DAY      meanV=171.8 EO=1 IR=1 | fused[EO+IR:0.64] | tracks[#1@(679,775)] reg[LOCKED n=81 r=nanpx]
[00184] DAY      meanV=171.8 EO=1 IR=1 | fused[EO+IR:0.63] | tracks[#1@(691,775)] reg[LOCKED n=82 r=nanpx]
[00185] DAY      meanV=171.8 EO=1 IR=1 | fused[EO+IR:0.64] | tracks[#1@(702,775)] reg[LOCKED n=83 r=nanpx]
[00186] DAY      meanV=171.8 EO=1 IR=1 | fused[EO+IR:0.64] | tracks[#1@(710,775)] reg[LOCKED n=84 r=nanpx]
[00187] DAY      meanV=171.8 EO=2 IR=1 | fused[EO+IR:0.67] | tracks[#1@(722,774)] reg[LOCKED n=84 r=nanpx]
[00188] DAY      meanV=171.8 EO=1 IR=1 | fused[EO+IR:0.65] | tracks[#1@(735,775)] reg[LOCKED n=85 r=nanpx]
